"Method","Frequency","Model","RMSE","MAPE","MAD","Error","Forecast"
"Exponential Smoothing",52,"Simple exponential smoothing",25.1678750306153,0.105096571786123,199.975971278651,,"179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573"
"Exponential Smoothing",26,"Simple exponential smoothing",25.1678750306153,0.105096571786123,199.975971278651,,"179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573"
"Exponential Smoothing",13,"Simple exponential smoothing",25.1678750306153,0.105096571786123,199.975971278651,,"179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573,179.786825589573"
"Exponential Smoothing",52,"ETS(M,N,N)",25.1854578707292,0.105197332357118,21.8784172909805,,"179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902"
"Exponential Smoothing",26,"ETS(M,N,N)",25.1854578707292,0.105197332357118,21.8784172909805,,"179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902"
"Exponential Smoothing",13,"ETS(M,N,N)",25.1854578707292,0.105197332357118,21.8784172909805,,"179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902,179.76658270902"
"ARIMA",52,"ARIMA(0,1,1)",25.3293774027207,0.106021226400994,22.0439382735812,,"179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419"
"ARIMA",26,"ARIMA(0,1,1)",25.3293774027207,0.106021226400994,22.0439382735812,,"179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419"
"ARIMA",13,"ARIMA(0,1,1)",25.3293774027207,0.106021226400994,22.0439382735812,,"179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419,179.601061726419"
"Decomposition",52,,,,,"series is not periodic or has less than two periods",
"Decomposition",26,"STL +  ARIMA(1,1,2) with drift",16.7693686895009,0.0584609000961026,12.2455613631988,,"173.546139261511,192.551153056635,194.849366316916,190.947868653661,201.873285899138,198.421834208853,191.288262912229,190.384470868385,196.710108113528,192.180574772633,198.849434010999,192.025699848505,201.263161769214,195.400386776957,195.186336032527,199.551246507752,198.252663084659,186.040026649295,197.046649117931,195.375880957551"
"Decomposition",13,"STL +  ARIMA(0,1,3)",24.2040385622734,0.0941444575532734,19.7179948453638,,"175.227490863785,185.820197336904,185.459134842124,182.874622702907,180.251862751297,186.571269088933,185.896821147704,184.766073465809,186.630853109722,178.27063440417,178.104750036472,176.534222891131,175.523136146873,174.584268949095,180.971054822831,185.459134842124,182.874622702907,180.251862751297,186.571269088933,185.896821147704"
"Decomposition",52,,,,,"series is not periodic or has less than two periods",
"Decomposition",26,"STL +  ETS(M,N,N)",14.7524266488953,0.0564301134901977,11.5629765912375,,"175.615068655752,191.203063523636,195.815514554608,191.994289505446,203.997667604022,201.147217670248,194.589529631082,194.350870981389,201.63118007881,197.64085125945,205.375404845012,198.926304046805,209.483693183451,203.99918870204,204.5280086767,210.016945160347,209.396473025664,196.8246116258,209.653586043707,208.594194671033"
"Decomposition",13,"STL +  ETS(M,N,N)",21.2971833952874,0.0783456214640233,16.5064977835331,,"178.185258224065,184.781964762474,189.420162141373,186.748942420995,184.038916046658,190.569824311264,189.872602210558,188.703780014803,190.631422614127,181.992253164102,181.820909150825,180.198838602791,179.154709200047,178.185258224065,184.781964762474,189.420162141373,186.748942420995,184.038916046658,190.569824311264,189.872602210558"
"Time Series Regression",,"GRP ~ t",22.2866269091628,0.0842958560688803,17.6232574334898,,"200.606052425665,199.205822507342,197.80559258902,196.405362670697,195.005132752374,193.604902834052,192.204672915729,190.804442997406,189.404213079083,188.003983160761,186.603753242438,185.203523324115,183.803293405792,182.40306348747,181.002833569147,179.602603650824,178.202373732502,176.802143814179,175.401913895856,174.001683977533"
"Time Series Regression",,"GRP ~ t + I(t^2)",49.2624596398609,0.207919257214256,42.8805937376696,,"185.643884976526,183.013887870603,180.350653813663,177.654182805708,174.924474846736,172.161529936748,169.365348075743,166.535929263723,163.673273500686,160.777380786633,157.848251121564,154.885884505478,151.890280938376,148.861440420258,145.799362951124,142.704048530974,139.575497159807,136.413708837624,133.218683564425,129.99042134021"
"Time Series Regression",,"GRP ~ t + I(t^2) + I(t^3)",35.3648781239163,0.153434581095744,30.5674078064674,,"207.901570048309,208.930370488433,210.173150027948,211.636501094867,213.3270161172,215.251287522958,217.415907740152,219.827469196793,222.492564320891,225.417785540458,228.609725283505,232.074975978041,235.82013005208,239.85177993363,244.176518050703,248.80093683131,253.731628703462,258.97518609517,264.538201434445,270.427267149297"
"Time Series Regression",,"GRP ~ t + I(t^2) + I(t^3) + I(t^4)",77.5129008086901,0.299621857989858,61.8045975171594,,"192.763769897018,189.645227829938,186.236258341105,182.512068563878,178.447039702816,174.014727033664,169.187859903367,163.938341730059,158.23725000307,152.054836282921,145.360526201329,138.122919461203,130.309789836646,121.888085172954,112.823927386617,103.082612465319,92.6286104679339,81.4255655245342,69.4362958363818,56.6227936759346"
"Time Series Regression",,"GRP ~ t + I(t^2) + I(t^3) + I(t^4) + I(t^5)",111.718029890466,0.430927683593702,88.6395752768259,,"190.471768725174,186.411308368296,181.882219832134,176.840702169247,171.241003024919,165.035389403951,158.174118437454,150.605408149647,142.275408224641,133.128170773239,123.105621099727,112.147528468668,100.191476871693,87.1728357942934,73.0247309826188,57.6780152102654,41.0612390450701,23.1006216159035,3.72002137946606,-17.1590931129242"
